Squadra,Data,Giorno_settimana,Ora,Casa,Campo,Ospite,Località,Settimana,Anno
Avis Cernusco,2025-11-26,Wednesday,21.15,BILLA VOLLEY MILANO U25,I.I.S. V.F. PARETO - CAMPO 1,AVIS CERNUSCO BIANCA,MILANO - VIA LITTA MODIGNANI,48,2025
ASD Zeronove,2025-11-27,Thursday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,SSD SRL POL. SAN GIULIANO,SEGRATE - VIA SAN ROCCO,48,2025
Polisportiva Carugate,2025-11-28,Friday,21.15,CITTA DI OPERA,PALESTRA COMUNALE OPERA,POLISPORTIVA CARUGATE,OPERA - VIA DANTE ALIGHIERI,48,2025
Avis Cernusco,2025-11-28,Friday,21.15,VOLLEY LUCERNATE,S.E. DI LUCERNATE,AVIS CERNUSCO BIANCA,RHO - LUCERNATE - VIA GIULIO CESARE - INGRESSO VIA VERBAN,48,2025
Polisportiva Carugate,2025-12-03,Wednesday,21.15,POLISPORTIVA CARUGATE,PALESTRA SCUOLE MEDIE CLEMENTE BARONI NUOVA,PIZZAUT PALLAVOLO CASSINA ROSSA,CARUGATE - VIA S. FRANCESCO D ASSISI (ANGOLO VIA FIDELINA),49,2025
Avis Cernusco,2025-12-04,Thursday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,A.S.D. ORATORIO OGGIONO,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,49,2025
ASD Zeronove,2025-12-05,Friday,21.15,ASD ASS. GENITORI SCUOLE,SCUOLA MEDIA GRAMSCI,ASD ZERONOVE,MILANO - VIA FRANCO TOSI,49,2025
Avis Cernusco,2025-12-09,Tuesday,21.15,VOLLEY BARZANO,CENTRO SPORTIVO PAOLO VI,AVIS CERNUSCO BIANCA,BARZANO - VIA GIOVANNI PAOLO XXIII,50,2025
ASD Zeronove,2025-12-11,Thursday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,ASD PGS ARDOR,SEGRATE - VIA SAN ROCCO,50,2025
Polisportiva Carugate,2025-12-11,Thursday,21.15,O.F.I.,PALESTRA COMUNALE,POLISPORTIVA CARUGATE,INZAGO - VIA BRAMBILLA,50,2025
Avis Cernusco,2025-12-16,Tuesday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,PALLAVOLO GSA,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,51,2025
ASD Zeronove,2025-12-17,Wednesday,21.00,CEM TORRICELLI,CENTRO SCOLASTICO UNIONE EUROPEA,ASD ZERONOVE,MILANO - VIA SAN DIONIGI,51,2025
Polisportiva Carugate,2025-12-19,Friday,21.15,POLISPORTIVA CARUGATE,SCUOLA ELEMENTARE NUOVA,A.S.D. NEW VOLLEY ADDA,CARUGATE - VIA DEL GINESTRINO,51,2025
Avis Cernusco,2026-01-09,Friday,21.15,CORALYA LISSONE VOLLEY TEAM,PALAZZETTO PIERMARINI,AVIS CERNUSCO BIANCA,LISSONE - VIA BERNINI,2,2026
Avis Cernusco,2026-01-15,Thursday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,REDSTAMP VOLLEY VALLE DEL LAMBRO,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,3,2026
ASD Zeronove,2026-01-16,Friday,21.15,POL. SAN GIORGIO,PALESTRA COMUNALE LISCATE,ASD ZERONOVE,LISCATE - VIA DANTE ALIGHIERI,3,2026
Polisportiva Carugate,2026-01-16,Friday,21.15,POLISPORTIVA CARUGATE,SCUOLA ELEMENTARE NUOVA,A.S.D. POL. GS RODANO,CARUGATE - VIA DEL GINESTRINO,3,2026
Avis Cernusco,2026-01-22,Thursday,21.15,UNION VOLLEY MARIANO,PALAZZETTO DELLO SPORT,AVIS CERNUSCO BIANCA,MARIANO COMENSE - VIA SANT ANTONIO DA PADONA,4,2026
ASD Zeronove,2026-01-22,Thursday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,GONZAGA YOUNG,SEGRATE - VIA SAN ROCCO,4,2026
Polisportiva Carugate,2026-01-23,Friday,21.15,SSD SRL POL. SAN GIULIANO,SCUOLA MEDIA E.FERMI,POLISPORTIVA CARUGATE,SAN GIULIANO MILANESE - VIA SESTO GALLO,4,2026
Avis Cernusco,2026-01-29,Thursday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,BILLA VOLLEY MILANO U25,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,5,2026
Polisportiva Carugate,2026-01-30,Friday,21.15,POLISPORTIVA CARUGATE,SCUOLA ELEMENTARE NUOVA,ASD ASS. GENITORI SCUOLE,CARUGATE - VIA DEL GINESTRINO,5,2026
ASD Zeronove,2026-01-30,Friday,21.15,CITTA DI OPERA,PALESTRA COMUNALE OPERA,ASD ZERONOVE,OPERA - VIA DANTE ALIGHIERI,5,2026
